City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,kingaroy,-26.5333,151.8333,17.09,85,0,0.55,AU,1701875612
84,asosa,10.0667,34.5333,23.51,44,26,2.07,ET,1701875614
85,port elizabeth,-33.918,25.5701,23.94,68,20,8.75,ZA,1701875614
86,samalkha,29.2333,77.0167,18.31,34,0,1.56,IN,1701875617
87,avarua,-21.2078,-159.775,24.03,88,40,5.66,CK,1701875618
88,amursk,50.2261,136.8994,-7.79,97,100,0.99,RU,1701875620
89,vadso,70.0744,29.7487,-9.91,85,75,3.09,NO,1701875620
90,tiksi,71.6872,128.8694,-22.76,96,100,5.29,RU,1701875620
91,wote,-1.7808,37.6288,20.79,89,85,2.03,KE,1701875621
92,aral,40.5156,81.2636,3.75,31,4,2.93,CN,1701875621
93,palmer,42.1584,-72.3287,1.75,74,75,1.54,US,1701875622
94,mermoz boabab,14.7065,-17.4758,35.31,66,16,6.83,SN,1701875622
95,olonkinbyen,70.9221,-8.7187,-3.04,80,100,4.18,SJ,1701875622
96,georgetown,5.4112,100.3354,27.96,89,20,0.0,MY,1701875623
97,aksu,41.1231,80.2644,2.98,39,6,1.41,CN,1701875623
98,dudinka,69.4058,86.1778,-29.1,97,100,2.68,RU,1701875623
99,teguise,29.0605,-13.564,19.12,83,40,7.2,ES,1701875624
100,ulsteinvik,62.3432,5.8487,1.53,64,100,2.24,NO,1701875624
101,zeya,53.75,127.2667,-16.4,97,100,1.14,RU,1701875625
102,sinabang,2.4803,96.3801,26.8,81,100,0.97,ID,1701875625
103,bubaque,11.2833,-15.8333,28.5,39,2,2.44,GW,1701875626
104,nuuk,64.1835,-51.7216,4.34,35,75,8.23,GL,1701875626
105,vernon,50.2581,-119.2691,6.45,92,100,0.17,CA,1701875405
106,zakamensk,50.3741,103.2863,-13.46,94,80,1.32,RU,1701875626
107,itaueira,-7.6033,-43.0256,36.57,29,0,4.01,BR,1701875373
108,crane,31.3974,-102.3501,12.0,59,74,3.04,US,1701875627
109,umea,63.8284,20.2597,-13.04,85,100,0.0,SE,1701875627
110,inhambane,-23.865,35.3833,26.39,57,13,6.92,MZ,1701875628
111,hays,30.0502,-98.0336,14.24,67,38,0.89,US,1701875628
112,sault ste. marie,46.5168,-84.3333,-4.84,86,100,0.0,CA,1701875536
113,papatowai,-46.5619,169.4708,10.27,74,24,8.62,NZ,1701875628
114,ketchikan,55.3422,-131.6461,6.26,81,100,4.63,US,1701875629
115,guerrero negro,27.9769,-114.0611,17.99,57,0,1.55,MX,1701875629
116,thompson,55.7435,-97.8558,-2.91,93,100,4.12,CA,1701875629
117,nadi,-17.8,177.4167,24.0,94,20,2.06,FJ,1701875630
